VAR_ID,3002,3003,3004,3005,3007,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017,3018,3020,3021,3022,3023,3024,3025,3026,3027,3028,3029,3031,3032,3034,3035,3036,3037,3038,3039,3040,3041,3043,3044,3045,3046,3047,3048,3049,3052,3053,3054,3055,3056,3058,3059,3060,3061,3062,3063,3065,3066,3067,3068,3069,3070,3071,3072,3073,3075,3074,3076,3077,3078,3079,3080,3081,3082,3083,3085,3086,3087,3088,3089,3090,3091,3092,3093,3094,3095,3097,3098,3099,3100,3101,3103,3104,3105,3106,3107,3108,3109,3110,3111,3112,3113,3114,3115,3116,3117
percent_self_identified_with_multiple_visible_minorities,Q2,Q5,Q5,Q3,Q3,Q5,Q2,Q2,Q4,Q4,Q3,Q4,Q5,Q2,Q1,Q3,Q4,Q2,Q3,Q5,Q3,Q5,Q5,Q4,Q3,Q2,Q1,Q2,Q2,Q4,Q1,Q1,Q1,Q1,Q4,Q5,Q2,Q4,Q5,Q1,Q2,Q4,Q1,Q5,Q5,Q5,Q3,Q5,Q3,Q2,Q4,Q3,Q1,Q4,Q3,Q1,Q5,Q3,Q3,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q5,Q3,Q3,Q2,Q2,Q2,Q1,Q4,Q3,Q2,Q3,Q4,Q5,Q3,Q1,Q3,Q3,Q4,Q1,Q4,Q4,Q3,Q2,Q4,Q2,Q4,Q2,Q5,Q4,Q4,Q2,Q1,Q5,Q5,Q2,Q2
percent_of_people_who_are_non_racialized,Q4,Q1,Q2,Q3,Q4,Q3,Q2,Q4,Q1,Q3,Q4,Q3,Q2,Q1,Q3,Q2,Q1,Q5,Q2,Q2,Q3,Q3,Q2,Q1,Q2,Q4,Q5,Q4,Q2,Q3,Q5,Q5,Q5,Q5,Q3,Q1,Q3,Q1,Q2,Q5,Q5,Q3,Q4,Q1,Q1,Q1,Q4,Q1,Q2,Q5,Q1,Q4,Q5,Q4,Q1,Q3,Q2,Q3,Q3,Q5,Q5,Q4,Q5,Q5,Q5,Q5,Q4,Q5,Q1,Q3,Q2,Q3,Q4,Q3,Q5,Q1,Q1,Q2,Q3,Q1,Q3,Q4,Q4,Q4,Q1,Q2,Q4,Q2,Q1,Q3,Q2,Q2,Q4,Q1,Q2,Q1,Q4,Q3,Q2,Q5,Q1,Q2,Q4,Q4
percent_of_pop_that_are_recent_immigrants_arr_2016_2021,Q2,Q5,Q5,Q5,Q2,Q4,Q4,Q2,Q4,Q2,Q3,Q3,Q5,Q5,Q2,Q3,Q4,Q1,Q3,Q2,Q3,Q3,Q3,Q5,Q4,Q2,Q1,Q2,Q5,Q4,Q1,Q1,Q2,Q1,Q4,Q5,Q2,Q4,Q3,Q1,Q2,Q4,Q1,Q4,Q3,Q5,Q2,Q2,Q4,Q1,Q5,Q3,Q1,Q3,Q5,Q4,Q4,Q3,Q4,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q1,Q4,Q2,Q4,Q4,Q1,Q1,Q1,Q5,Q5,Q3,Q3,Q3,Q3,Q3,Q2,Q2,Q2,Q5,Q1,Q3,Q5,Q2,Q4,Q5,Q2,Q5,Q4,Q5,Q2,Q4,Q5,Q1,Q4,Q3,Q3,Q3
percent_of_pop_that_are_immigrants,Q2,Q5,Q5,Q4,Q2,Q3,Q4,Q2,Q4,Q3,Q2,Q4,Q4,Q5,Q2,Q4,Q4,Q1,Q4,Q4,Q3,Q3,Q4,Q5,Q2,Q1,Q1,Q2,Q4,Q3,Q2,Q1,Q1,Q1,Q3,Q5,Q2,Q5,Q3,Q1,Q2,Q3,Q1,Q5,Q5,Q5,Q2,Q5,Q3,Q1,Q5,Q3,Q1,Q2,Q5,Q4,Q4,Q3,Q3,Q1,Q1,Q3,Q1,Q1,Q1,Q1,Q3,Q1,Q5,Q2,Q5,Q2,Q2,Q2,Q1,Q4,Q5,Q4,Q3,Q4,Q3,Q2,Q1,Q1,Q4,Q5,Q2,Q4,Q4,Q3,Q3,Q4,Q1,Q5,Q3,Q5,Q3,Q2,Q4,Q1,Q5,Q3,Q2,Q2
percent_of_pop_that_are_indigenous,Q1,Q3,Q4,Q4,Q4,Q4,Q5,Q4,Q1,Q3,Q3,Q2,Q3,Q2,Q4,Q3,Q5,Q4,Q5,Q1,Q3,Q3,Q2,Q1,Q5,Q1,Q5,Q3,Q3,Q2,Q4,Q4,Q2,Q5,Q3,Q1,Q3,Q1,Q1,Q4,Q1,Q4,Q4,Q1,Q2,Q5,Q3,Q1,Q5,Q2,Q1,Q1,Q4,Q1,Q2,Q5,Q4,Q5,Q5,Q3,Q4,Q1,Q5,Q5,Q4,Q5,Q2,Q3,Q2,Q2,Q3,Q2,Q1,Q4,Q4,Q5,Q2,Q5,Q1,Q3,Q3,Q2,Q3,Q4,Q1,Q4,Q1,Q2,Q2,Q3,Q3,Q1,Q3,Q1,Q2,Q1,Q2,Q5,Q5,Q5,Q2,Q4,Q2,Q2
percent_of_pop_that_are_fn,Q1,Q4,Q4,Q3,Q4,Q4,Q4,Q4,Q1,Q4,Q1,Q3,Q1,Q3,Q2,Q2,Q5,Q3,Q5,Q1,Q3,Q3,Q1,Q1,Q5,Q1,Q5,Q3,Q3,Q3,Q5,Q4,Q2,Q3,Q4,Q3,Q3,Q2,Q2,Q4,Q2,Q5,Q4,Q1,Q4,Q5,Q4,Q1,Q5,Q2,Q1,Q2,Q1,Q2,Q1,Q4,Q5,Q5,Q3,Q3,Q1,Q1,Q5,Q5,Q4,Q5,Q2,Q3,Q2,Q3,Q4,Q1,Q1,Q3,Q5,Q5,Q3,Q5,Q1,Q2,Q2,Q1,Q2,Q4,Q3,Q4,Q1,Q2,Q2,Q4,Q2,Q1,Q3,Q2,Q2,Q1,Q4,Q5,Q5,Q5,Q3,Q4,Q2,Q2
percent_of_pop_that_are_metis,Q1,Q2,Q5,Q4,Q5,Q4,Q4,Q3,Q2,Q2,Q4,Q2,Q4,Q2,Q5,Q2,Q3,Q5,Q3,Q1,Q3,Q5,Q4,Q1,Q4,Q1,Q5,Q4,Q3,Q1,Q3,Q4,Q2,Q5,Q2,Q1,Q4,Q1,Q1,Q5,Q1,Q2,Q3,Q1,Q1,Q4,Q2,Q1,Q4,Q2,Q1,Q1,Q5,Q1,Q3,Q5,Q3,Q4,Q5,Q2,Q5,Q2,Q5,Q3,Q4,Q5,Q4,Q3,Q3,Q3,Q3,Q3,Q1,Q5,Q1,Q2,Q1,Q3,Q2,Q4,Q5,Q2,Q4,Q4,Q1,Q5,Q1,Q3,Q3,Q3,Q4,Q1,Q4,Q2,Q2,Q2,Q1,Q5,Q4,Q5,Q2,Q2,Q3,Q3
percent_of_pop_that_are_inuit,Q2,Q4,Q2,Q2,Q2,Q5,Q5,Q2,Q2,Q5,Q2,Q2,Q4,Q2,Q4,Q2,Q5,Q2,Q4,Q2,Q5,Q2,Q2,Q4,Q5,Q2,Q2,Q4,Q4,Q5,Q2,Q2,Q2,Q2,Q2,Q2,Q4,Q4,Q2,Q2,Q4,Q2,Q2,Q2,Q2,Q4,Q5,Q2,Q2,Q2,Q2,Q2,Q2,Q4,Q4,Q5,Q2,Q2,Q5,Q2,Q2,Q2,Q4,Q2,Q2,Q2,Q2,Q5,Q4,Q4,Q4,Q5,Q2,Q2,Q2,Q5,Q2,Q5,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q5,Q2,Q4,Q2,Q2,Q5,Q2,Q2,Q2,Q2,Q2,Q5,Q5,Q2,Q2,Q5,Q2,Q2
percent_of_pop_that_are_racialized,Q2,Q5,Q4,Q3,Q2,Q3,Q4,Q2,Q4,Q2,Q2,Q3,Q4,Q5,Q3,Q4,Q4,Q1,Q4,Q4,Q3,Q3,Q4,Q5,Q4,Q2,Q1,Q2,Q4,Q3,Q1,Q1,Q1,Q1,Q3,Q5,Q3,Q5,Q4,Q1,Q1,Q3,Q2,Q5,Q5,Q5,Q2,Q5,Q3,Q1,Q5,Q2,Q1,Q2,Q5,Q2,Q4,Q3,Q3,Q1,Q1,Q2,Q1,Q1,Q1,Q1,Q1,Q1,Q5,Q3,Q4,Q3,Q2,Q2,Q1,Q5,Q5,Q4,Q3,Q5,Q3,Q2,Q2,Q2,Q4,Q4,Q1,Q4,Q5,Q3,Q4,Q4,Q1,Q5,Q3,Q5,Q2,Q3,Q4,Q1,Q5,Q3,Q2,Q2
percent_of_pop_that_are_refugees,Q2,Q5,Q5,Q3,Q2,Q4,Q4,Q3,Q5,Q2,Q2,Q3,Q5,Q4,Q3,Q4,Q5,Q1,Q4,Q2,Q3,Q3,Q4,Q4,Q2,Q2,Q1,Q2,Q5,Q4,Q2,Q1,Q1,Q2,Q4,Q5,Q2,Q5,Q4,Q1,Q1,Q3,Q2,Q5,Q5,Q5,Q2,Q5,Q3,Q1,Q2,Q3,Q1,Q2,Q5,Q4,Q5,Q2,Q4,Q1,Q1,Q2,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q3,Q4,Q2,Q1,Q2,Q1,Q5,Q5,Q5,Q3,Q4,Q3,Q3,Q2,Q1,Q3,Q5,Q1,Q3,Q4,Q3,Q4,Q4,Q1,Q4,Q2,Q3,Q3,Q3,Q4,Q1,Q5,Q4,Q3,Q3
percent_of_immigrants_that_are_refugees,Q1,Q5,Q5,Q2,Q2,Q4,Q5,Q4,Q5,Q2,Q3,Q2,Q5,Q2,Q3,Q4,Q5,Q1,Q4,Q1,Q3,Q3,Q3,Q2,Q1,Q2,Q3,Q2,Q5,Q5,Q1,Q1,Q1,Q5,Q4,Q5,Q2,Q3,Q4,Q1,Q1,Q3,Q3,Q4,Q4,Q5,Q3,Q4,Q4,Q1,Q1,Q3,Q1,Q1,Q5,Q4,Q5,Q2,Q4,Q2,Q1,Q2,Q1,Q3,Q2,Q5,Q1,Q1,Q3,Q2,Q4,Q2,Q1,Q2,Q1,Q5,Q5,Q5,Q3,Q3,Q4,Q4,Q3,Q1,Q2,Q5,Q2,Q2,Q4,Q3,Q4,Q4,Q1,Q2,Q2,Q1,Q4,Q3,Q4,Q3,Q5,Q4,Q3,Q3
percent_of_renter_households,Q2,Q5,Q4,Q3,Q2,Q3,Q5,Q3,Q3,Q4,Q4,Q2,Q5,Q2,Q1,Q4,Q5,Q1,Q4,Q3,Q5,Q2,Q2,Q3,Q4,Q4,Q1,Q2,Q4,Q3,Q2,Q1,Q1,Q2,Q4,Q5,Q1,Q2,Q4,Q1,Q4,Q2,Q1,Q3,Q3,Q5,Q5,Q3,Q4,Q3,Q3,Q2,Q1,Q4,Q5,Q3,Q5,Q5,Q4,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q4,Q1,Q3,Q1,Q4,Q4,Q3,Q1,Q1,Q5,Q5,Q4,Q3,Q2,Q3,Q3,Q2,Q2,Q2,Q4,Q1,Q2,Q5,Q2,Q5,Q3,Q1,Q3,Q2,Q2,Q3,Q5,Q5,Q1,Q5,Q5,Q4,Q4
percent_of_pop_with_knowledge_of_neither_english_nor_french,Q2,Q5,Q4,Q3,Q2,Q3,Q5,Q1,Q4,Q4,Q2,Q3,Q4,Q4,Q2,Q5,Q5,Q2,Q4,Q4,Q3,Q3,Q3,Q5,Q3,Q1,Q1,Q1,Q4,Q3,Q1,Q1,Q1,Q2,Q3,Q5,Q2,Q5,Q4,Q1,Q2,Q3,Q2,Q5,Q3,Q5,Q4,Q5,Q2,Q1,Q5,Q4,Q1,Q3,Q5,Q4,Q4,Q1,Q3,Q1,Q1,Q2,Q1,Q2,Q1,Q1,Q2,Q1,Q5,Q3,Q4,Q2,Q1,Q1,Q2,Q5,Q5,Q3,Q3,Q4,Q3,Q2,Q2,Q1,Q4,Q4,Q2,Q5,Q4,Q1,Q3,Q2,Q2,Q5,Q3,Q5,Q4,Q2,Q4,Q1,Q4,Q5,Q3,Q3
percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,Q1,Q5,Q5,Q2,Q4,Q5,Q4,Q4,Q5,Q2,Q4,Q1,Q5,Q1,Q2,Q4,Q5,Q1,Q4,Q2,Q2,Q2,Q1,Q3,Q4,Q1,Q5,Q3,Q5,Q4,Q2,Q2,Q1,Q5,Q3,Q5,Q2,Q3,Q3,Q3,Q1,Q2,Q3,Q4,Q4,Q5,Q2,Q4,Q4,Q1,Q1,Q3,Q3,Q1,Q5,Q1,Q5,Q2,Q4,Q1,Q3,Q2,Q3,Q3,Q2,Q4,Q1,Q2,Q3,Q2,Q3,Q1,Q1,Q2,Q4,Q5,Q5,Q5,Q3,Q2,Q4,Q4,Q4,Q3,Q3,Q4,Q1,Q1,Q3,Q2,Q2,Q3,Q1,Q1,Q1,Q1,Q3,Q5,Q5,Q4,Q3,Q5,Q2,Q4
percent_of_pop_living_alone,Q3,Q4,Q4,Q3,Q4,Q4,Q5,Q3,Q2,Q5,Q4,Q1,Q5,Q1,Q2,Q4,Q5,Q1,Q4,Q3,Q5,Q2,Q1,Q1,Q3,Q4,Q4,Q3,Q2,Q3,Q3,Q1,Q1,Q3,Q4,Q3,Q1,Q1,Q3,Q2,Q5,Q2,Q1,Q3,Q2,Q5,Q5,Q2,Q4,Q3,Q3,Q2,Q1,Q4,Q4,Q4,Q5,Q5,Q5,Q2,Q2,Q2,Q1,Q2,Q2,Q2,Q5,Q1,Q1,Q1,Q3,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q4,Q1,Q3,Q3,Q4,Q3,Q1,Q4,Q2,Q1,Q5,Q2,Q5,Q4,Q1,Q1,Q2,Q1,Q3,Q5,Q5,Q2,Q4,Q5,Q5,Q5
percent_of_census_families_that_are_one_parent_families,Q1,Q5,Q5,Q4,Q3,Q5,Q5,Q4,Q4,Q3,Q3,Q2,Q5,Q2,Q3,Q4,Q5,Q1,Q5,Q3,Q2,Q3,Q2,Q2,Q4,Q1,Q3,Q4,Q4,Q3,Q2,Q1,Q1,Q3,Q4,Q4,Q2,Q2,Q3,Q1,Q2,Q4,Q1,Q4,Q5,Q5,Q3,Q5,Q4,Q1,Q1,Q3,Q1,Q3,Q5,Q5,Q5,Q2,Q4,Q1,Q2,Q1,Q1,Q1,Q1,Q1,Q2,Q1,Q4,Q2,Q4,Q1,Q2,Q2,Q1,Q5,Q5,Q5,Q3,Q3,Q4,Q4,Q3,Q3,Q3,Q3,Q1,Q2,Q4,Q4,Q4,Q3,Q1,Q2,Q2,Q2,Q3,Q5,Q5,Q1,Q5,Q4,Q2,Q2
percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,Q5,Q1,Q1,Q4,Q2,Q1,Q3,Q2,Q1,Q3,Q3,Q4,Q1,Q5,Q4,Q3,Q2,Q4,Q2,Q5,Q5,Q4,Q4,Q4,Q2,Q5,Q1,Q3,Q1,Q1,Q5,Q2,Q3,Q1,Q3,Q1,Q2,Q3,Q3,Q1,Q5,Q3,Q3,Q2,Q1,Q1,Q4,Q1,Q2,Q5,Q5,Q4,Q2,Q5,Q1,Q4,Q2,Q5,Q2,Q4,Q2,Q4,Q2,Q2,Q3,Q1,Q5,Q3,Q3,Q3,Q2,Q5,Q5,Q3,Q1,Q1,Q1,Q1,Q4,Q3,Q3,Q3,Q2,Q2,Q4,Q2,Q5,Q5,Q4,Q4,Q5,Q2,Q4,Q5,Q4,Q4,Q4,Q2,Q1,Q1,Q4,Q3,Q5,Q3
percent_of_households_living_in_core_housing_need,Q1,Q5,Q5,Q3,Q2,Q4,Q5,Q3,Q3,Q4,Q4,Q1,Q5,Q2,Q1,Q4,Q5,Q1,Q4,Q3,Q5,Q1,Q1,Q3,Q4,Q3,Q3,Q3,Q4,Q3,Q2,Q1,Q1,Q2,Q4,Q5,Q1,Q3,Q3,Q3,Q3,Q2,Q1,Q3,Q3,Q5,Q4,Q4,Q4,Q2,Q2,Q2,Q1,Q4,Q5,Q3,Q5,Q4,Q5,Q1,Q2,Q1,Q1,Q1,Q2,Q3,Q3,Q2,Q3,Q1,Q4,Q3,Q1,Q1,Q2,Q5,Q5,Q4,Q4,Q2,Q4,Q3,Q2,Q2,Q2,Q5,Q1,Q1,Q5,Q2,Q5,Q4,Q1,Q2,Q1,Q2,Q2,Q5,Q5,Q2,Q4,Q5,Q4,Q4
percent_of_owner_households,Q3,Q1,Q2,Q3,Q4,Q3,Q1,Q3,Q3,Q2,Q2,Q4,Q1,Q4,Q4,Q2,Q1,Q5,Q2,Q3,Q1,Q3,Q4,Q3,Q2,Q2,Q5,Q4,Q2,Q3,Q4,Q5,Q5,Q4,Q2,Q1,Q5,Q4,Q2,Q5,Q2,Q4,Q5,Q3,Q2,Q1,Q1,Q3,Q1,Q3,Q2,Q4,Q5,Q2,Q1,Q3,Q1,Q1,Q1,Q5,Q5,Q5,Q4,Q5,Q4,Q4,Q2,Q5,Q3,Q5,Q2,Q2,Q3,Q5,Q5,Q1,Q1,Q2,Q3,Q4,Q2,Q3,Q4,Q4,Q4,Q2,Q5,Q4,Q1,Q4,Q1,Q3,Q5,Q3,Q4,Q3,Q3,Q1,Q1,Q5,Q1,Q1,Q1,Q2
percent_of_people_in_low_income_based_on_lim_at,Q2,Q5,Q4,Q3,Q2,Q4,Q5,Q3,Q3,Q4,Q3,Q2,Q5,Q2,Q1,Q4,Q5,Q1,Q4,Q3,Q5,Q2,Q1,Q3,Q4,Q4,Q3,Q1,Q4,Q2,Q1,Q1,Q1,Q2,Q3,Q5,Q1,Q3,Q4,Q2,Q3,Q3,Q1,Q4,Q4,Q5,Q4,Q4,Q4,Q1,Q3,Q2,Q2,Q3,Q5,Q3,Q5,Q5,Q5,Q1,Q2,Q1,Q2,Q1,Q1,Q3,Q3,Q1,Q3,Q2,Q4,Q4,Q2,Q1,Q2,Q5,Q5,Q3,Q3,Q1,Q4,Q3,Q1,Q2,Q2,Q5,Q1,Q1,Q5,Q2,Q5,Q4,Q1,Q2,Q2,Q3,Q1,Q5,Q5,Q2,Q4,Q5,Q4,Q4
percent_of_people_0_17_in_low_income_based_on_lim_at,Q1,Q5,Q4,Q4,Q2,Q4,Q5,Q4,Q4,Q2,Q2,Q2,Q5,Q3,Q1,Q5,Q5,Q1,Q4,Q3,Q5,Q3,Q1,Q3,Q4,Q3,Q3,Q2,Q4,Q3,Q2,Q1,Q1,Q1,Q3,Q5,Q1,Q2,Q4,Q1,Q1,Q3,Q1,Q4,Q4,Q5,Q4,Q4,Q4,Q1,Q3,Q2,Q2,Q2,Q5,Q3,Q5,Q5,Q5,Q2,Q2,Q1,Q1,Q2,Q1,Q3,Q3,Q1,Q3,Q3,Q4,Q2,Q2,Q1,Q1,Q5,Q5,Q4,Q3,Q2,Q4,Q2,Q4,Q3,Q2,Q4,Q1,Q2,Q5,Q3,Q5,Q4,Q1,Q3,Q2,Q3,Q1,Q5,Q5,Q1,Q4,Q5,Q3,Q2
percent_of_people_18_64_in_low_income_based_on_lim_at,Q3,Q5,Q4,Q4,Q3,Q3,Q5,Q3,Q3,Q3,Q3,Q2,Q5,Q2,Q1,Q4,Q5,Q2,Q4,Q3,Q5,Q2,Q1,Q3,Q4,Q4,Q4,Q1,Q4,Q3,Q2,Q1,Q1,Q3,Q3,Q5,Q1,Q3,Q4,Q2,Q4,Q2,Q1,Q4,Q4,Q5,Q4,Q3,Q4,Q1,Q3,Q1,Q2,Q3,Q5,Q3,Q5,Q5,Q5,Q1,Q2,Q1,Q2,Q2,Q1,Q2,Q3,Q1,Q2,Q2,Q4,Q5,Q2,Q1,Q2,Q5,Q5,Q3,Q3,Q1,Q4,Q3,Q2,Q2,Q1,Q4,Q1,Q1,Q5,Q2,Q5,Q4,Q1,Q1,Q1,Q2,Q2,Q5,Q5,Q1,Q4,Q5,Q4,Q4
percent_of_people_65_in_low_income_based_on_lim_at,Q2,Q5,Q4,Q3,Q2,Q5,Q5,Q1,Q1,Q4,Q3,Q2,Q4,Q3,Q1,Q3,Q5,Q3,Q4,Q2,Q5,Q1,Q3,Q4,Q3,Q1,Q3,Q2,Q2,Q1,Q1,Q1,Q1,Q2,Q4,Q5,Q2,Q4,Q3,Q4,Q3,Q2,Q1,Q4,Q4,Q5,Q5,Q4,Q2,Q1,Q2,Q2,Q4,Q3,Q5,Q3,Q5,Q4,Q5,Q1,Q3,Q1,Q2,Q2,Q2,Q4,Q1,Q2,Q3,Q1,Q3,Q3,Q2,Q1,Q3,Q5,Q5,Q4,Q4,Q3,Q3,Q2,Q1,Q1,Q4,Q5,Q1,Q3,Q5,Q1,Q5,Q2,Q1,Q2,Q3,Q2,Q1,Q4,Q5,Q4,Q4,Q5,Q5,Q4
percent_of_children_living_in_one_parent_families,Q1,Q5,Q4,Q4,Q3,Q5,Q5,Q4,Q3,Q3,Q3,Q2,Q5,Q2,Q2,Q5,Q5,Q1,Q5,Q3,Q4,Q3,Q2,Q1,Q4,Q1,Q4,Q3,Q4,Q3,Q2,Q1,Q1,Q3,Q4,Q3,Q2,Q2,Q3,Q1,Q2,Q3,Q1,Q4,Q5,Q5,Q4,Q4,Q5,Q1,Q1,Q3,Q1,Q2,Q5,Q5,Q5,Q5,Q4,Q1,Q1,Q2,Q1,Q1,Q1,Q1,Q4,Q1,Q3,Q2,Q4,Q2,Q2,Q2,Q1,Q5,Q4,Q5,Q3,Q2,Q4,Q4,Q3,Q3,Q2,Q3,Q2,Q2,Q4,Q3,Q5,Q4,Q1,Q2,Q2,Q1,Q2,Q5,Q5,Q1,Q4,Q4,Q3,Q3
percent_of_people_with_french_as_a_language_most_spoken_at_home,Q4,Q3,Q5,Q1,Q1,Q1,Q3,Q4,Q4,Q2,Q2,Q2,Q3,Q3,Q5,Q2,Q3,Q1,Q5,Q1,Q4,Q5,Q5,Q3,Q2,Q2,Q1,Q4,Q2,Q2,Q2,Q5,Q2,Q4,Q4,Q3,Q5,Q3,Q1,Q1,Q3,Q1,Q3,Q3,Q4,Q4,Q3,Q4,Q3,Q2,Q1,Q1,Q1,Q2,Q4,Q2,Q5,Q4,Q5,Q1,Q1,Q1,Q3,Q1,Q1,Q5,Q4,Q1,Q2,Q2,Q4,Q4,Q3,Q5,Q1,Q5,Q3,Q4,Q4,Q5,Q3,Q2,Q5,Q5,Q2,Q3,Q4,Q3,Q4,Q4,Q4,Q3,Q1,Q2,Q1,Q2,Q1,Q5,Q5,Q5,Q5,Q3,Q2,Q2
percent_of_people_with_knowledge_of_only_french_as_an_official_language,Q3,Q4,Q5,Q2,Q1,Q1,Q4,Q5,Q3,Q1,Q2,Q3,Q4,Q3,Q5,Q2,Q4,Q1,Q5,Q2,Q3,Q4,Q5,Q3,Q1,Q1,Q2,Q4,Q3,Q2,Q2,Q4,Q2,Q4,Q4,Q3,Q5,Q3,Q1,Q1,Q2,Q3,Q2,Q4,Q3,Q5,Q3,Q4,Q4,Q2,Q2,Q2,Q1,Q2,Q5,Q2,Q5,Q4,Q5,Q1,Q1,Q1,Q2,Q1,Q1,Q5,Q3,Q1,Q2,Q3,Q4,Q3,Q1,Q4,Q2,Q5,Q4,Q4,Q3,Q5,Q3,Q1,Q4,Q4,Q1,Q4,Q3,Q2,Q5,Q4,Q5,Q2,Q1,Q1,Q1,Q3,Q2,Q5,Q5,Q5,Q5,Q3,Q3,Q1
percent_of_workers_age_15_who_commute_by_car_truck_or_van,Q2,Q2,Q2,Q3,Q3,Q2,Q1,Q3,Q4,Q3,Q2,Q4,Q1,Q4,Q4,Q2,Q2,Q5,Q1,Q2,Q1,Q3,Q4,Q4,Q1,Q1,Q5,Q3,Q3,Q3,Q3,Q5,Q5,Q5,Q2,Q2,Q3,Q4,Q3,Q5,Q1,Q4,Q5,Q4,Q3,Q2,Q1,Q4,Q2,Q1,Q4,Q3,Q5,Q2,Q2,Q2,Q1,Q1,Q1,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q1,Q5,Q3,Q4,Q3,Q1,Q1,Q4,Q5,Q2,Q1,Q3,Q2,Q4,Q3,Q3,Q4,Q4,Q4,Q2,Q3,Q4,Q1,Q3,Q1,Q1,Q5,Q4,Q4,Q4,Q3,Q1,Q1,Q5,Q2,Q1,Q2,Q2
percent_of_workers_age_15_who_commute_by_public_transit,Q2,Q5,Q5,Q3,Q3,Q3,Q5,Q4,Q3,Q3,Q4,Q1,Q5,Q2,Q2,Q4,Q4,Q1,Q5,Q4,Q4,Q2,Q2,Q3,Q5,Q3,Q1,Q3,Q4,Q4,Q2,Q1,Q1,Q1,Q3,Q4,Q3,Q2,Q3,Q1,Q2,Q2,Q1,Q2,Q3,Q5,Q5,Q2,Q4,Q4,Q2,Q2,Q1,Q4,Q5,Q4,Q5,Q4,Q5,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q3,Q1,Q3,Q2,Q4,Q5,Q3,Q2,Q1,Q5,Q5,Q4,Q4,Q2,Q3,Q3,Q2,Q2,Q2,Q4,Q3,Q1,Q5,Q3,Q5,Q5,Q1,Q2,Q1,Q2,Q3,Q4,Q5,Q1,Q3,Q5,Q4,Q4
percent_of_workers_age_15_who_commute_by_walking,Q5,Q3,Q4,Q3,Q4,Q4,Q4,Q4,Q1,Q3,Q3,Q2,Q4,Q4,Q2,Q3,Q4,Q1,Q4,Q3,Q5,Q3,Q1,Q1,Q2,Q5,Q1,Q3,Q2,Q3,Q4,Q1,Q1,Q2,Q5,Q4,Q1,Q1,Q3,Q2,Q5,Q3,Q1,Q1,Q2,Q4,Q5,Q1,Q4,Q5,Q2,Q3,Q3,Q5,Q3,Q4,Q5,Q5,Q4,Q2,Q1,Q2,Q1,Q1,Q2,Q1,Q5,Q2,Q2,Q2,Q2,Q5,Q5,Q2,Q2,Q4,Q4,Q3,Q4,Q1,Q3,Q2,Q1,Q2,Q3,Q3,Q2,Q1,Q5,Q3,Q5,Q4,Q1,Q1,Q2,Q1,Q3,Q5,Q5,Q3,Q4,Q5,Q5,Q4
percent_of_workers_age_15_who_commute_by_bicycle,Q5,Q3,Q3,Q4,Q1,Q2,Q2,Q2,Q2,Q4,Q4,Q2,Q3,Q3,Q2,Q4,Q4,Q1,Q4,Q3,Q5,Q3,Q1,Q2,Q3,Q5,Q1,Q3,Q2,Q3,Q4,Q1,Q1,Q1,Q4,Q3,Q2,Q1,Q3,Q1,Q5,Q2,Q3,Q4,Q5,Q4,Q5,Q2,Q3,Q5,Q3,Q3,Q1,Q5,Q3,Q1,Q5,Q5,Q5,Q2,Q1,Q4,Q1,Q1,Q2,Q1,Q5,Q1,Q3,Q2,Q2,Q5,Q5,Q2,Q1,Q4,Q4,Q2,Q4,Q1,Q4,Q3,Q1,Q2,Q1,Q4,Q4,Q1,Q5,Q4,Q5,Q4,Q2,Q2,Q3,Q2,Q3,Q5,Q4,Q1,Q4,Q5,Q5,Q3
percent_of_workers_age_15_who_commute_by_other_means,Q5,Q1,Q3,Q3,Q1,Q3,Q4,Q2,Q3,Q4,Q1,Q4,Q3,Q4,Q2,Q2,Q3,Q2,Q3,Q5,Q4,Q2,Q2,Q1,Q1,Q5,Q2,Q3,Q4,Q1,Q5,Q2,Q1,Q1,Q4,Q5,Q2,Q4,Q1,Q1,Q5,Q2,Q4,Q5,Q3,Q1,Q5,Q1,Q2,Q1,Q4,Q5,Q2,Q3,Q3,Q2,Q2,Q5,Q5,Q3,Q4,Q1,Q4,Q3,Q1,Q1,Q5,Q1,Q4,Q3,Q3,Q4,Q2,Q3,Q1,Q2,Q2,Q1,Q5,Q4,Q1,Q5,Q5,Q5,Q2,Q2,Q5,Q5,Q4,Q3,Q4,Q4,Q1,Q2,Q4,Q2,Q3,Q3,Q4,Q1,Q3,Q3,Q4,Q5
